advertisement_id,car_product_id,user_id,title,description,created_at,updated_at,is_active,is_bid_allowed
1,2,36,Advertisement 0,This is advertisement 0,2023-04-13 17:08:43.732485,,True,True
2,69,92,Advertisement 1,This is advertisement 1,2023-04-12 17:08:43.732485,2023-04-12 17:08:43.732485,True,True
3,7,17,Advertisement 2,This is advertisement 2,2023-04-11 17:08:43.732485,2023-04-11 17:08:43.732485,True,True
4,45,56,Advertisement 3,This is advertisement 3,2023-04-10 17:08:43.732485,,True,True
5,80,78,Advertisement 4,This is advertisement 4,2023-04-09 17:08:43.732485,2023-04-09 17:08:43.732485,True,True
6,79,90,Advertisement 5,This is advertisement 5,2023-04-08 17:08:43.732485,,True,True
7,51,20,Advertisement 6,This is advertisement 6,2023-04-07 17:08:43.732485,,True,True
8,58,88,Advertisement 7,This is advertisement 7,2023-04-06 17:08:43.732485,,True,True
9,77,53,Advertisement 8,This is advertisement 8,2023-04-05 17:08:43.732485,2023-04-05 17:08:43.732485,True,True
10,73,63,Advertisement 9,This is advertisement 9,2023-04-04 17:08:43.732485,,True,True
11,23,34,Advertisement 10,This is advertisement 10,2023-04-03 17:08:43.732485,,True,True
12,5,78,Advertisement 11,This is advertisement 11,2023-04-02 17:08:43.732485,,True,True
13,46,90,Advertisement 12,This is advertisement 12,2023-04-01 17:08:43.732485,2023-04-01 17:08:43.732485,True,True
14,1,34,Advertisement 13,This is advertisement 13,2023-03-31 17:08:43.732485,2023-03-31 17:08:43.732485,True,True
15,74,1,Advertisement 14,This is advertisement 14,2023-03-30 17:08:43.732485,,True,True
16,43,26,Advertisement 15,This is advertisement 15,2023-03-29 17:08:43.732485,,True,True
17,44,64,Advertisement 16,This is advertisement 16,2023-03-28 17:08:43.732485,,True,True
18,85,99,Advertisement 17,This is advertisement 17,2023-03-27 17:08:43.732485,2023-03-27 17:08:43.732485,True,True
19,94,40,Advertisement 18,This is advertisement 18,2023-03-26 17:08:43.732485,,True,True
20,6,100,Advertisement 19,This is advertisement 19,2023-03-25 17:08:43.732485,2023-03-25 17:08:43.732485,True,True
21,83,15,Advertisement 20,This is advertisement 20,2023-03-24 17:08:43.732485,2023-03-24 17:08:43.732485,True,True
22,25,14,Advertisement 21,This is advertisement 21,2023-03-23 17:08:43.732485,,True,True
23,86,25,Advertisement 22,This is advertisement 22,2023-03-22 17:08:43.732485,,True,True
24,92,9,Advertisement 23,This is advertisement 23,2023-03-21 17:08:43.732485,,True,True
25,13,91,Advertisement 24,This is advertisement 24,2023-03-20 17:08:43.732485,,True,True
26,71,15,Advertisement 25,This is advertisement 25,2023-03-19 17:08:43.732485,,True,True
27,54,90,Advertisement 26,This is advertisement 26,2023-03-18 17:08:43.732485,,True,True
28,98,57,Advertisement 27,This is advertisement 27,2023-03-17 17:08:43.732485,,True,True
29,90,76,Advertisement 28,This is advertisement 28,2023-03-16 17:08:43.732485,2023-03-16 17:08:43.732485,True,True
30,60,14,Advertisement 29,This is advertisement 29,2023-03-15 17:08:43.732485,,True,True
31,24,45,Advertisement 30,This is advertisement 30,2023-03-14 17:08:43.732485,2023-03-14 17:08:43.732485,True,True
32,95,23,Advertisement 31,This is advertisement 31,2023-03-13 17:08:43.732485,2023-03-13 17:08:43.732485,True,True
33,67,13,Advertisement 32,This is advertisement 32,2023-03-12 17:08:43.732485,,True,True
34,81,53,Advertisement 33,This is advertisement 33,2023-03-11 17:08:43.732485,,True,True
35,63,95,Advertisement 34,This is advertisement 34,2023-03-10 17:08:43.732485,2023-03-10 17:08:43.732485,True,True
36,33,39,Advertisement 35,This is advertisement 35,2023-03-09 17:08:43.732485,,True,True
37,20,87,Advertisement 36,This is advertisement 36,2023-03-08 17:08:43.732485,,True,True
38,56,41,Advertisement 37,This is advertisement 37,2023-03-07 17:08:43.732485,2023-03-07 17:08:43.732485,True,True
39,21,76,Advertisement 38,This is advertisement 38,2023-03-06 17:08:43.732485,2023-03-06 17:08:43.732485,True,True
40,89,83,Advertisement 39,This is advertisement 39,2023-03-05 17:08:43.732485,2023-03-05 17:08:43.732485,True,True
41,27,36,Advertisement 40,This is advertisement 40,2023-03-04 17:08:43.732485,,True,True
42,29,55,Advertisement 41,This is advertisement 41,2023-03-03 17:08:43.732485,,True,True
