bid_id,user_id,advertisement_id,bid_date,bid_price,bid_status
1,97,86,2023-04-08 17:09:05,353603651,Sent
2,91,14,2023-04-12 17:09:05,359331279,Cancelled
3,87,82,2023-04-12 17:09:05,89901201,Sent
4,15,50,2023-04-06 17:09:05,657478289,Cancelled
5,36,30,2023-04-12 17:09:05,696215284,Cancelled
6,4,10,2023-04-09 17:09:05,679886548,Cancelled
7,25,65,2023-04-10 17:09:05,265464160,Cancelled
8,14,63,2023-04-06 17:09:05,48726167,Sent
9,65,25,2023-04-12 17:09:05,678950756,Cancelled
10,71,95,2023-04-08 17:09:05,341124725,Cancelled
11,73,87,2023-04-08 17:09:05,504612043,Sent
12,8,56,2023-04-11 17:09:05,536157403,Cancelled
13,77,54,2023-04-11 17:09:05,623756935,Cancelled
14,37,54,2023-04-08 17:09:05,59209886,Cancelled
15,70,79,2023-04-08 17:09:05,123748966,Cancelled
16,15,20,2023-04-09 17:09:05,577508916,Sent
17,50,36,2023-04-11 17:09:05,657899114,Cancelled
18,40,56,2023-04-06 17:09:05,578460417,Sent
19,37,85,2023-04-06 17:09:05,610656998,Sent
20,10,20,2023-04-12 17:09:05,114817977,Cancelled
21,84,87,2023-04-09 17:09:05,462775312,Sent
22,58,49,2023-04-10 17:09:05,303205487,Sent
23,46,46,2023-04-10 17:09:05,71908119,Cancelled
24,13,52,2023-04-11 17:09:05,514789724,Sent
25,94,80,2023-04-07 17:09:05,493214883,Sent
26,19,59,2023-04-09 17:09:05,317945130,Cancelled
27,6,69,2023-04-10 17:09:05,521177644,Sent
28,41,89,2023-04-08 17:09:05,335137300,Cancelled
29,31,25,2023-04-07 17:09:05,438892226,Cancelled
30,69,69,2023-04-12 17:09:05,249717770,Cancelled
31,12,64,2023-04-09 17:09:05,351992313,Sent
32,71,28,2023-04-10 17:09:05,181739137,Cancelled
33,21,92,2023-04-07 17:09:05,324357390,Sent
34,37,66,2023-04-08 17:09:05,31698825,Cancelled
35,1,67,2023-04-07 17:09:05,597324961,Cancelled
36,82,37,2023-04-06 17:09:05,31932942,Sent
37,100,85,2023-04-06 17:09:05,20222263,Sent
38,43,43,2023-04-12 17:09:05,85090667,Cancelled
39,29,70,2023-04-08 17:09:05,486175343,Sent
40,73,97,2023-04-07 17:09:05,435811977,Cancelled
41,10,33,2023-04-07 17:09:05,152304918,Sent
42,57,54,2023-04-08 17:09:05,393888311,Cancelled
43,23,19,2023-04-06 17:09:05,677792529,Sent
44,35,66,2023-04-11 17:09:05,55272651,Cancelled
45,6,82,2023-04-11 17:09:05,510366820,Sent
46,10,19,2023-04-06 17:09:05,489736617,Sent
47,2,31,2023-04-12 17:09:05,673255733,Cancelled
48,99,7,2023-04-07 17:09:05,668801581,Cancelled
49,63,76,2023-04-10 17:09:05,560584499,Sent
