car_product_id,brand_id,model_id,body_type_id,year,price,color,mileage
1,1,1,5,2013,288287645,Green,5179
2,4,11,1,2012,57250511,Black,6696
3,3,10,5,2021,224639054,Silver,2981
4,3,8,5,2009,416009251,Red,3893
5,1,2,1,2015,381226468,Green,3056
6,4,11,5,2017,492983562,Gray,5290
7,1,4,1,2007,458484644,Black,8714
8,4,11,1,2015,395725458,Black,2825
9,4,11,2,2002,274127048,Red,436
10,1,2,3,2015,43043033,Green,7433
11,2,6,5,2008,40016248,Blue,1225
12,1,2,4,2020,281398878,Silver,5880
13,2,7,4,2012,91471733,Blue,6328
14,3,8,3,2004,393887173,Green,7342
15,3,10,2,2005,480846317,Blue,1458
16,1,2,1,2014,405428539,Red,3839
17,2,6,4,2001,402993423,Silver,3164
18,2,6,2,2019,46694338,Blue,9100
19,3,9,5,2010,422094138,Gray,5690
20,4,11,3,2015,247613263,Black,2754
21,4,11,5,2021,462531574,Silver,6034
22,4,11,1,2002,436501370,Red,4893
23,1,3,5,2010,460006176,Black,9279
24,2,5,1,2019,453663628,Silver,7224
25,4,11,3,2000,306771868,Silver,3821
26,4,11,1,2012,336865906,Blue,5527
27,4,11,1,2008,27590230,Blue,8680
28,2,7,1,2013,456615976,Blue,8949
29,2,5,1,2003,87641260,Gray,7438
30,4,11,1,2014,108315186,Black,7585
31,2,5,2,2005,127515733,Silver,4802
32,2,7,3,2019,427185006,White,567
33,4,11,3,2014,328687893,White,2276
34,2,7,3,2001,255842130,Gray,7123
35,4,11,2,2018,351056217,Blue,5025
36,2,5,2,2007,138002240,Red,8184
37,2,6,5,2009,287615511,Gray,9730
38,1,1,4,2016,108682892,White,8069
39,1,4,4,2016,142820373,White,5655
40,2,6,2,2021,252838770,Red,6807
41,4,11,4,2006,42004552,Gray,7157
42,1,2,1,2021,19121119,Gray,1546
43,3,10,1,2016,102571035,Gray,4585
44,4,11,3,2014,268404234,Gray,6991
45,3,9,2,2022,176311337,Green,534
46,3,8,2,2003,71679841,Silver,5940
47,4,11,1,2002,419367749,Black,8026
48,3,8,3,2007,413359686,Black,9821
49,1,3,3,2001,197739469,Red,7545
50,2,7,5,2010,96732725,Green,791
51,4,11,5,2007,140922401,Gray,624
52,3,10,3,2018,22553666,Red,6270
53,2,5,5,2014,301790818,Blue,819
54,4,11,2,2012,25633863,Gray,9466
55,3,9,3,2016,248928031,Red,741
56,4,11,2,2016,96764530,Silver,9707
57,2,5,4,2001,321923765,Black,9532
58,2,6,3,2011,137650968,Gray,931
59,4,11,5,2006,20228398,White,3523
60,3,8,5,2019,92130048,Blue,5955
61,3,8,2,2009,336717685,White,3873
62,1,3,5,2021,331370375,Silver,2911
63,2,5,5,2017,385499614,Silver,3186
64,1,4,3,2014,311270273,Gray,2530
65,4,11,3,2000,29479422,Gray,8642
66,1,3,4,2003,427108835,Red,9623
67,4,11,4,2022,38521131,White,6238
68,4,11,1,2007,320447576,Gray,2047
69,3,9,4,2019,62685833,Silver,8871
70,1,3,5,2002,434541123,Red,8464
71,1,3,5,2017,417863309,Green,4592
72,2,6,4,2013,257111342,Green,2484
73,1,4,5,2004,248617743,Gray,1563
74,1,4,4,2010,292510793,Gray,6841
75,4,11,5,2016,335036051,Gray,6301
76,1,3,2,2006,20989735,Gray,5573
77,2,7,1,2019,336208692,Red,448
78,2,5,1,2008,177213250,Gray,8022
79,4,11,4,2004,334434516,Red,6608
80,1,2,4,2021,262076893,Black,6543
81,4,11,4,2000,487559606,Gray,272
82,1,2,1,2009,100257286,Black,2716
83,1,2,5,2022,29135703,Black,9938
84,4,11,3,2009,291990456,Red,9516
85,4,11,5,2021,191583969,Gray,6817
86,2,5,5,2019,142631314,Blue,6446
87,2,5,1,2018,325401495,Green,6193
88,2,6,3,2000,98630346,Green,5825
89,4,11,4,2006,39924273,Black,7727
90,4,11,2,2008,484158184,Red,6465
91,4,11,4,2004,253938042,Green,9255
92,1,4,1,2019,303178907,White,9812
93,2,6,4,2004,452901896,Black,4402
94,1,4,5,2005,54694482,Blue,7548
95,4,11,4,2019,55965611,Black,5696
96,2,5,2,2003,51048254,Red,3402
97,4,11,2,2007,326458896,Black,6603
98,1,2,3,2009,459254868,Silver,7313
99,2,7,1,2005,112466888,Silver,1313
100,2,6,3,2003,490400610,Red,7287
